"control","condition_1","condition_2"
0.063729990592154,0.730526874666221,1.09728997329908
0.103082651127193,1.18285779736359,3.92038951216
0.999026603021563,0.741419671378854,5.52390680599518
0.608761009068634,0.674222537466939,7.1518838711427
0.631590409798941,1.02565758403235,7.16780065503262
0.399145992335582,1.41413146858398,7.61176462883309
0.702564570207136,0.906097822421537,6.4517931628535
0.102916030854287,0.872003299141448,0.0854948245354215
0.739531683035866,0.410690739460161,0.242957114455382
0.326521336658152,1.08348324795465,1.00254557102646
0.75598747570188,0.861025803238067,2.54837793069193
0.375400244123905,0.880598932646845,1.98036598109622
0.507659974013265,1.01262388558993,2.81083949229124
0.667491648578629,1.13458093280022,11.1079297476097
0.546940333125895,0.86365729801707,5.81169654576473
0.400003145959142,0.75394113695698,3.68200933225858
0.96263523163987,0.940193888837709,0.28635481460131
0.230415886877512,0.968911554023433,4.71699831785964
0.433286367044303,0.934964186246762,1.16517220969348
0.471574361737123,1.23675647200423,0.119314220485503
